 Name               Version  License       URL
 Pygments           2.20.0   BSD-2-Clause  https://pygments.org
 Send2Trash         2.1.0    BSD-3-Clause  https://github.com/arsenetar/send2trash
 linkify-it-py      2.1.0    MIT License   https://github.com/tsutsu3/linkify-it-py
 markdown-it-py     4.0.0    MIT License   https://github.com/executablebooks/markdown-it-py
 mdit-py-plugins    0.5.0    MIT License   https://github.com/executablebooks/mdit-py-plugins
 mdurl              0.1.2    MIT License   https://github.com/executablebooks/mdurl
 platformdirs       4.9.4    MIT           https://github.com/tox-dev/platformdirs
 pypdf              6.16.0   BSD-3-Clause  https://github.com/py-pdf/pypdf
 rich               14.3.3   MIT License   https://github.com/Textualize/rich
 textual            0.89.1   MIT License   https://github.com/Textualize/textual
 typing_extensions  4.15.0   PSF-2.0       https://github.com/python/typing_extensions
 uc-micro-py        2.0.0    MIT License   https://github.com/tsutsu3/uc.micro-py
